"lemon64_name"	"lemon64_id"	"lemon64_slug"	"atari_legend_id"
"10th Frame"	8	"10th-frame"	2910
"1943: The Battle of Midway"	14	"1943-the-battle-of-midway"	152
"1st Division Manager"	16	"1st-division-manager"	1146
"221B Baker Street"	17	"221b-baker-street"	1150
"500cc Grand Prix"	27	"500cc-grand-prix"	1130
"5th Gear"	29	"5th-gear"	1158
"Question of Sport, A"	35	"question-of-sport"	639
"Aaargh!"	37	"aaargh"	587
"Action Fighter"	49	"action-fighter"	279
"Action Service"	52	"action-service"	590
"Addams Family, The"	55	"addams-family"	1173
"Addicta Ball"	57	"addicta-ball"	258
"After Burner"	63	"after-burner"	1188
"After Burner"	64	"after-burner-us-version"	1188
"After the War"	65	"after-the-war"	601
"Airborne Ranger"	74	"airborne-ranger"	604
"Alien Storm"	85	"alien-storm"	615
"Alien Syndrome"	86	"alien-syndrome"	184
"Alien World"	89	"alien-world"	618
"APB: All Points Bulletin"	91	"apb-all-points-bulletin"	535
"Altered Beast"	100	"altered-beast"	364
"Amazing Spider-Man, The"	104	"amazing-spider-man"	580
"Amazon"	106	"amazon-telarium"	3530
"Anders Limpar's Proffs Fotboll"	110	"anders-limpars-proffs-fotboll"	455
"Arcticfox"	139	"arcticfox"	644
"Arkanoid"	145	"arkanoid"	20
"Arkanoid: Revenge of Doh"	146	"arkanoid-revenge-of-doh"	52
"Armageddon Man, The"	147	"armageddon-man"	1230
"Army Moves"	151	"army-moves"	70
"Artura"	157	"artura"	142
"Asterix im Morgenland"	161	"asterix-im-morgenland"	656
"AMC: Astro Marine Corps"	164	"amc-astro-marine-corps"	541
"Atomic Robo-Kid"	169	"atomic-robo-kid"	565
"Atomino"	170	"atomino"	662
"Atomix"	171	"atomix"	440
"Auto Duel"	178	"auto-duel"	1255
"Baal"	187	"baal"	254
"Back to the Future II"	192	"back-to-the-future-2"	473
"Back to the Future III"	193	"back-to-the-future-3"	673
"Bad Cat"	196	"bad-cat"	675
"BadLands"	197	"badlands"	21
"Ball Game, The"	199	"ball-game"	1277
"Ballistix"	203	"ballistix"	680
"Ballyhoo"	206	"ballyhoo"	681
"Bangkok Knights"	212	"bangkok-knights"	682
